,twoHundredDayAverage,averageDailyVolume10Day,fiftyDayAverage,averageVolume10days,beta,marketCap,priceToSalesTrailing12Months,fiftyTwoWeekHigh,forwardPE,fiftyTwoWeekLow,cluster
ISBC,10.476763,3187912,13.689143,3187912,1.135427,3643995648,4.8844113,15.34,11.15909,6.74,0
IT,154.3859,689225,181.89258,689225,1.617009,16488003584,4.02205,191.66,35.601532,88.81,0
ITGR,74.84691,213050,87.664856,213050,1.294149,3075547136,2.8651266,96.32,20.691795,50.72,0
ITRI,83.977486,909075,100.876,909075,1.247562,4025758208,1.8523287,122.31,27.118542,50.59,0
J,106.33684,567087,118.31,567087,0.90845,16731660288,1.2312866,128.74,,69.17,1
JBHT,139.57274,572937,153.08629,572937,1.033586,17642164224,1.8307508,167.11,23.148403,88.03,1
JBT,114.21906,196150,137.03943,196150,1.62676,4299374592,2.4883518,151.64,25.957855,56.17,0
JCI,48.348347,5574775,57.298,5574775,1.114301,43095076864,1.9515929,62.4,20.335594,24.66,3
JCOM,91.930504,456350,113.526,456350,0.964788,5391550976,3.6194794,124.82,11.912175,53.25,4
JKHY,156.2844,564937,150.64828,564937,0.573672,11806435328,6.887817,200.98,34.9527,141.65,4
K,62.074677,3417550,59.239143,3417550,0.639761,21684017152,1.5747288,72.88,15.278177,56.61,1
